Event_ID,Event_Name,Parent_Event_ID,Event_Type,Probability_Type,Probability_Value,Distribution_Type,Min,Max,Mean,Median,Mode,StdDev,Lambda,Alpha,Beta,Shape,Scale,Fixed_Value,Consequence_Type,Consequence_Distribution,Consequence_Min,Consequence_Max,Consequence_Mean,Consequence_StdDev,Dependency_Type,Dependency_Condition,Correlation_Group,Notes
N0504,Screening Lane Selection: node 97 - identity or itinerary discrepancy requiring routine clarification,N0006,Observation,beta,,beta,,,0.4528,,43,,,12.225,14.775,,,,Legal/Compliance,triangular,35,61,43,,mitigates_parent,Screening Lane Selection branch condition: triggered only if prior control is unresolved. Defensive test data only.,CG-P5-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0505,"Screening Lane Selection: node 98 - behavioral cue logged only as supporting context, not as sole basis",N0006,Detection,fixed,0.4145,fixed,,,,,,,,,,,,0.4145,Workforce,normal,,,45,8.1,escalates_if_unresolved,Screening Lane Selection branch condition: feeds supervisor review but does not grant access. Defensive test data only.,CG-P5-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0506,Screening Lane Selection: node 99 - Apply standard operating procedure without describing restricted methods,N0006,Escalation,normal,,normal,,,0.4118,,,0.0494,,,,0.35,45,,Passenger Experience,lognormal,,,47,11.8,independent,Screening Lane Selection branch condition: requires independent confirmation before escalation. Defensive test data only.,CG-P5-10,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Apply standard operating procedure without describing restricted methods. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0507,"Property Screening: node 01 - Record observable behavior and maintain neutral, non-discriminatory criteria",N0007,Recovery,fixed,0.5540,fixed,,,,,40,,,,,,,0.5540,Operational,triangular,32,58,40,,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Record observable behavior and maintain neutral, non-discriminatory criteria. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0508,Property Screening: node 02 - workflow interruption that could create screening distraction,N0007,Observation,normal,,normal,,,0.5222,,,0.0627,,,,,,,Reputational,normal,,,42,7.6,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0509,Property Screening: node 03 - Simulation branch terminates with interdiction,N0007,Phase,poisson,,poisson,,,1.4768,,,,1.4768,,,0.35,42,,Financial,lognormal,,,44,11.0,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Simulation branch terminates with interdiction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0510,Property Screening: node 04 - alarm requiring standard resolution before access is granted,N0007,Decision,triangular,,triangular,0.3694,0.6094,0.4894,,0.4894,,,,,,,46,Legal/Compliance,fixed,,,46,,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: alarm requiring standard resolution before access is granted. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0511,Property Screening: node 05 - Use randomization as a defensive control in the simulation only,N0007,Control,lognormal,,lognormal,,,0.4544,,,0.0909,,,,0.341,0.4544,,Workforce,uniform,43,60,51.5,4.9,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use randomization as a defensive control in the simulation only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0512,Property Screening: node 06 - property image anomaly resolved only through approved process,N0007,Observation,uniform,,uniform,0.3611,0.5611,0.4611,,50,,,,,,,,Passenger Experience,triangular,42,68,50,,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: property image anomaly resolved only through approved process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0513,Property Screening: node 07 - identity or itinerary discrepancy requiring routine clarification,N0007,Detection,beta,,beta,,,0.4133,,,,,10.747,15.253,,,,Security,normal,,,52,9.4,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0514,Property Screening: node 08 - Close the loop with after-action documentation,N0007,Escalation,fixed,0.4137,fixed,,,,,,,,,,0.35,52,0.4137,Operational,lognormal,,,54,13.5,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Close the loop with after-action documentation. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0515,Property Screening: node 09 - Attempt blocked before sterile-area access,N0007,Outcome,normal,,normal,,,0.4042,,,0.0485,,,,,,56,Reputational,fixed,,,56,,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Attempt blocked before sterile-area access. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0516,Property Screening: node 10 - Use layered screening controls and documented decision points,N0007,Recovery,poisson,,poisson,,,1.0781,,,,1.0781,,,,,,Financial,uniform,53,70,61.5,4.9,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-01,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use layered screening controls and documented decision points. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0517,Property Screening: node 11 - item-category ambiguity requiring officer judgment,N0007,Observation,triangular,,triangular,0.2521,0.4921,0.3721,,0.3721,,,,,,,,Legal/Compliance,triangular,52,78,60,,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0518,Property Screening: node 12 - Passenger re-screened and cleared after resolution,N0007,Phase,lognormal,,lognormal,,,0.5268,,,0.1054,,,,0.355,0.5268,,Workforce,normal,,,62,11.2,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Passenger re-screened and cleared after resolution. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0519,Property Screening: node 13 - high workload condition increasing need for supervisor oversight,N0007,Decision,uniform,,uniform,0.4251,0.6251,0.5251,,,,,,,0.35,62,,Passenger Experience,lognormal,,,64,16.0,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: high workload condition increasing need for supervisor oversight. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0520,Property Screening: node 14 - Maintain passenger flow while resolving the event safely,N0007,Control,beta,,beta,,,0.4865,,,,,13.136,13.864,,,40,Security,fixed,,,40,,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Maintain passenger flow while resolving the event safely. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0521,Property Screening: node 15 - incomplete divestiture or preparation requiring re-screening,N0007,Observation,fixed,0.4850,fixed,,,,,,,,,,,,0.4850,Operational,uniform,37,54,45.5,4.9,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: incomplete divestiture or preparation requiring re-screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0522,Property Screening: node 16 - property image anomaly resolved only through approved process,N0007,Detection,normal,,normal,,,0.4586,,44,0.0550,,,,,,,Reputational,triangular,36,62,44,,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: property image anomaly resolved only through approved process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0523,Property Screening: node 17 - Route to secondary resolution using approved checkpoint process,N0007,Escalation,poisson,,poisson,,,1.3390,,,,1.3390,,,,,,Financial,normal,,,46,8.3,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Route to secondary resolution using approved checkpoint process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0524,Property Screening: node 18 - Residual risk remains and is flagged for review,N0007,Outcome,triangular,,triangular,0.3301,0.5701,0.4501,,0.4501,,,,,0.35,46,,Legal/Compliance,lognormal,,,48,12.0,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Residual risk remains and is flagged for review. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0525,Property Screening: node 19 - Apply standard operating procedure without describing restricted methods,N0007,Recovery,lognormal,,lognormal,,,0.4130,,,0.0826,,,,0.333,0.4130,50,Workforce,fixed,,,50,,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Apply standard operating procedure without describing restricted methods. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0526,Property Screening: node 20 - inconsistent passenger explanation requiring additional screening,N0007,Observation,uniform,,uniform,0.3136,0.5136,0.4136,,,,,,,,,,Passenger Experience,uniform,47,64,55.5,4.9,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-02,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: inconsistent passenger explanation requiring additional screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0527,Property Screening: node 21 - False alarm resolved with no prohibited item found,N0007,Phase,beta,,beta,,,0.3996,,54,,,9.990,15.010,,,,Security,triangular,46,72,54,,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: False alarm resolved with no prohibited item found. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0528,Property Screening: node 22 - workflow interruption that could create screening distraction,N0007,Decision,fixed,0.3526,fixed,,,,,,,,,,,,0.3526,Operational,normal,,,56,10.1,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0529,Property Screening: node 23 - Preserve chain-of-custody language at a generic level,N0007,Control,normal,,normal,,,0.5241,,,0.0629,,,,0.35,56,,Reputational,lognormal,,,58,14.5,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Preserve chain-of-custody language at a generic level. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0530,Property Screening: node 24 - alarm requiring standard resolution before access is granted,N0007,Observation,poisson,,poisson,,,1.5089,,,,1.5089,,,,,60,Financial,fixed,,,60,,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: alarm requiring standard resolution before access is granted. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0531,Property Screening: node 25 - incomplete divestiture or preparation requiring re-screening,N0007,Detection,triangular,,triangular,0.3910,0.6310,0.5110,,0.5110,,,,,,,,Legal/Compliance,uniform,57,74,65.5,4.9,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: incomplete divestiture or preparation requiring re-screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0532,Property Screening: node 26 - Confirm the event through a second independent screening cue,N0007,Escalation,lognormal,,lognormal,,,0.5160,,64,0.1032,,,,0.353,0.5160,,Workforce,triangular,56,82,64,,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Confirm the event through a second independent screening cue. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0533,Property Screening: node 27 - Checkpoint returns to baseline operating posture,N0007,Outcome,uniform,,uniform,0.3655,0.5655,0.4655,,,,,,,,,,Passenger Experience,normal,,,40,7.2,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Checkpoint returns to baseline operating posture. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0534,Property Screening: node 28 - Close the loop with after-action documentation,N0007,Recovery,beta,,beta,,,0.4625,,,,,12.488,14.512,0.35,40,,Security,lognormal,,,42,10.5,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Close the loop with after-action documentation. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0535,Property Screening: node 29 - generic anomaly associated with a prohibited item attempt,N0007,Observation,fixed,0.4511,fixed,,,,,,,,,,,,0.4511,Operational,fixed,,,44,,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0536,Property Screening: node 30 - Attempt escalated for law-enforcement disposition,N0007,Phase,normal,,normal,,,0.4266,,,0.0512,,,,,,,Reputational,uniform,41,58,49.5,4.9,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-03,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Attempt escalated for law-enforcement disposition. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0537,Property Screening: node 31 - item-category ambiguity requiring officer judgment,N0007,Decision,poisson,,poisson,,,1.2411,,48,,1.2411,,,,,,Financial,triangular,40,66,48,,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0538,Property Screening: node 32 - Request supervisory review when the indicator exceeds the test threshold,N0007,Control,triangular,,triangular,0.2855,0.5255,0.4055,,0.4055,,,,,,,,Legal/Compliance,normal,,,50,9.0,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Request supervisory review when the indicator exceeds the test threshold. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0539,Property Screening: node 33 - high workload condition increasing need for supervisor oversight,N0007,Observation,lognormal,,lognormal,,,0.3500,,,0.0700,,,,0.320,0.3500,,Workforce,lognormal,,,52,13.0,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: high workload condition increasing need for supervisor oversight. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0540,Property Screening: node 34 - alarm requiring standard resolution before access is granted,N0007,Detection,uniform,,uniform,0.4210,0.6210,0.5210,,,,,,,,,54,Passenger Experience,fixed,,,54,,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: alarm requiring standard resolution before access is granted. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0541,Property Screening: node 35 - Use randomization as a defensive control in the simulation only,N0007,Escalation,beta,,beta,,,0.5096,,,,,14.269,13.731,,,,Security,uniform,51,68,59.5,4.9,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use randomization as a defensive control in the simulation only. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0542,Property Screening: node 36 - Quality assurance review identifies control improvement,N0007,Outcome,fixed,0.4903,fixed,,,,,58,,,,,,,0.4903,Operational,triangular,50,76,58,,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Quality assurance review identifies control improvement. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0543,Property Screening: node 37 - Route to secondary resolution using approved checkpoint process,N0007,Recovery,normal,,normal,,,0.4995,,,0.0599,,,,,,,Reputational,normal,,,60,10.8,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Route to secondary resolution using approved checkpoint process. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0544,"Property Screening: node 38 - behavioral cue logged only as supporting context, not as sole basis",N0007,Observation,poisson,,poisson,,,1.4286,,,,1.4286,,,0.35,60,,Financial,lognormal,,,62,15.5,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: behavioral cue logged only as supporting context, not as sole basis. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0545,Property Screening: node 39 - Attempt blocked before sterile-area access,N0007,Phase,triangular,,triangular,0.3209,0.5609,0.4409,,0.4409,,,,,,,64,Legal/Compliance,fixed,,,64,,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Attempt blocked before sterile-area access. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0546,Property Screening: node 40 - inconsistent passenger explanation requiring additional screening,N0007,Decision,lognormal,,lognormal,,,0.4470,,,0.0894,,,,0.339,0.4470,,Workforce,uniform,35,52,43.5,4.9,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-04,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: inconsistent passenger explanation requiring additional screening. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0547,"Property Screening: node 41 - Record observable behavior and maintain neutral, non-discriminatory criteria",N0007,Control,uniform,,uniform,0.3323,0.5323,0.4323,,42,,,,,,,,Passenger Experience,triangular,34,60,42,,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Record observable behavior and maintain neutral, non-discriminatory criteria. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0548,Property Screening: node 42 - workflow interruption that could create screening distraction,N0007,Observation,beta,,beta,,,0.3844,,,,,9.610,15.390,,,,Security,normal,,,44,7.9,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0549,Property Screening: node 43 - high workload condition increasing need for supervisor oversight,N0007,Detection,fixed,0.3884,fixed,,,,,,,,,,0.35,44,0.3884,Operational,lognormal,,,46,11.5,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: high workload condition increasing need for supervisor oversight. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0550,Property Screening: node 44 - Maintain passenger flow while resolving the event safely,N0007,Escalation,normal,,normal,,,0.3774,,,0.0453,,,,,,48,Reputational,fixed,,,48,,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Maintain passenger flow while resolving the event safely. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0551,Property Screening: node 45 - Supervisor documents training or procedure improvement,N0007,Outcome,poisson,,poisson,,,1.5772,,,,1.5772,,,,,,Financial,uniform,45,62,53.5,4.9,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Supervisor documents training or procedure improvement. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0552,Property Screening: node 46 - Confirm the event through a second independent screening cue,N0007,Recovery,triangular,,triangular,0.4230,0.6630,0.5430,,0.5430,,,,,,,,Legal/Compliance,triangular,44,70,52,,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Confirm the event through a second independent screening cue. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0553,Property Screening: node 47 - identity or itinerary discrepancy requiring routine clarification,N0007,Observation,lognormal,,lognormal,,,0.5322,,,0.1064,,,,0.356,0.5322,,Workforce,normal,,,54,9.7,independent,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: identity or itinerary discrepancy requiring routine clarification. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0554,Property Screening: node 48 - Residual risk remains and is flagged for review,N0007,Phase,uniform,,uniform,0.3714,0.5714,0.4714,,,,,,,0.35,54,,Passenger Experience,lognormal,,,56,14.0,conditional,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Residual risk remains and is flagged for review. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0555,Property Screening: node 49 - generic anomaly associated with a prohibited item attempt,N0007,Decision,beta,,beta,,,0.4493,,,,,11.681,14.319,,,58,Security,fixed,,,58,,requires_parent_success,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: generic anomaly associated with a prohibited item attempt. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0556,Property Screening: node 50 - Use layered screening controls and documented decision points,N0007,Control,fixed,0.4456,fixed,,,,,,,,,,,,0.4456,Operational,uniform,55,72,63.5,4.9,blocks_if_detected,Property Screening branch condition: captures operational delay impact. Defensive test data only.,CG-P6-05,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: Use layered screening controls and documented decision points. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0557,Property Screening: node 51 - item-category ambiguity requiring officer judgment,N0007,Observation,normal,,normal,,,0.4459,,62,0.0535,,,,,,,Reputational,triangular,54,80,62,,mitigates_parent,Property Screening branch condition: terminates branch when detection succeeds. Defensive test data only.,CG-P6-06,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: item-category ambiguity requiring officer judgment. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
N0558,Property Screening: node 52 - workflow interruption that could create screening distraction,N0007,Detection,poisson,,poisson,,,1.3257,,,,1.3257,,,,,,Financial,normal,,,64,11.5,escalates_if_unresolved,Property Screening branch condition: used for Monte Carlo correlation testing. Defensive test data only.,CG-P6-06,"Synthetic node for an adversary prohibited-item checkpoint attempt. Focus: workflow interruption that could create screening distraction. This row is written for model testing, risk analysis, training data validation, and after-action simulation; it intentionally omits specific concealment, screening bypass, weapon construction, or exploitation details."
